id;kecamatan_id;kode;nama;;;;
1;13;3207132005;Andapraja;3207190008;Andapraja;;
2;25;3207342005;Awiluar;3207281003;Awiluar;;
3;8;3207082009;Bahara;3207070004;Babakan;;
4;11;3207112010;Bangbayang;3207250008;Bangbayang;;
5;21;3207302006;Bangunharja;3207160009;Bangunharja;;
6;10;3207102013;Bangunjaya;3207270013;Bangunjaya;;
7;19;3207192005;Bangunsari;3207120010;Bangunsari;;
8;7;3207072006;Banjarangsana;3207300010;Banjarangsana;;
9;27;3207372002;Banjaranyar;3207100004;Banjaranyar;;
10;18;3207182008;Banjarsari;3207100013;Banjarsari;;
11;26;3207352001;Bantardawa;3207111002;Bantardawa;;
12;19;3207192007;Bantarsari;3207120012;Bantarsari;;
13;17;3207172017;Baregbeg;3207110007;Baregbeg;;
14;23;3207322001;Baregbeg;3207211004;Baregbeg;;
15;12;3207122006;Bayasari;3207260002;Bayasari;;
16;20;3207292002;Beber;3207140003;Beber;;
17;4;3207042006;Bendasari;3207240005;Bendasari;;
18;1;3207011005;Benteng;3207210009;Benteng;;
19;15;3207152008;Bojonggedang;3207180002;Bojonggedang;;
20;20;3207292004;Bojongmalang;3207140001;Bojongmalang;;
21;3;3207032003;Bojongmengger;3207150003;Bojongmengger;;
22;7;3207072014;Buanamekar;3207300014;Buanamekar;;
23;22;3207312003;Budiasih;3207221004;Budiasih;;
24;22;3207312004;Budiharja;3207221003;Budiharja;;
25;11;3207112001;Buniseuri;3207250003;Buniseuri;;
26;14;3207142005;Bunter;3207200002;Bunter;;
27;11;3207112012;Ciakar;3207250013;Ciakar;;
28;1;3207011001;Ciamis;3207210008;Ciamis;;
29;18;3207182007;Cibadak;3207100012;Cibadak;;
30;24;3207332003;Cibeureum;3207291003;Cibeureum;;
31;18;3207182006;Cicapar;3207100020;Cicapar;;
32;5;3207052001;Cidolog;3207130003;Cidolog;;
33;11;3207112005;Cieurih;3207250009;Cieurih;;
34;27;3207372003;Cigayam;3207100003;Cigayam;;
35;1;3207011004;Cigembor;3207210010;Cigembor;;
36;3;3207032002;Ciharalang;3207150002;Ciharalang;;
37;6;3207062007;Cihaurbeuti;3207230008;Cihaurbeuti;;
38;18;3207182013;Ciherang;3207100018;Ciherang;;
39;3;3207032006;Cijeungjing;3207150006;Cijeungjing;;
40;6;3207062003;Cijulang;3207230005;Cijulang;;
41;27;3207372007;Cikaso;3207100007;Cikaso;;
42;2;3207022001;Cikoneng;3207220003;Cikoneng;;
43;25;3207342001;Cikupa;3207281001;Cikupa;;
44;27;3207372008;Cikupa;3207100001;Cikupa;;
45;15;3207152003;Cileungsir;3207180004;Cileungsir;;
46;20;3207292001;Cimaragas;3207140004;Cimaragas;;
47;2;3207022016;Cimari;3207220008;Cimari;;
48;17;3207172010;Cintajaya;3207110008;Cintajaya;;
