id;kode;nama;kode_bps
1;320701;Ciamis;3207210
2;320702;Cikoneng;3207220
3;320703;Cijeungjing;3207150
4;320704;Sadananya;3207240
5;320705;Cidolog;3207130
6;320706;Cihaurbeuti;3207230
7;320707;Panumbangan;3207300
8;320708;Panjalu;3207290
9;320709;Kawali;3207280
10;320710;Panawangan;3207270
11;320711;Cipaku;3207250
12;320712;Jatinagara;3207260
13;320713;Rajadesa;3207190
14;320714;Sukadana;3207200
15;320715;Rancah;3207180
16;320716;Tambaksari;3207170
17;320717;Lakbok;3207110
18;320718;Banjarsari;3207100
19;320719;Pamarican;3207120
20;320729;Cimaragas;3207140
21;320730;Cisaga;3207160
22;320731;Sindangkasih;3207221
23;320732;Baregbeg;3207211
24;320733;Sukamantri;3207291
25;320734;Lumbung;3207281
26;320735;Purwadadi;3207111
27;320737;Banjaranyar;
